Name;Temperature;HTC;Temp Amplitude;HTC Amplitude;Part;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zone_HulaSeal;492;352;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inner;492;489;T_ampl_Tk2;HTC_mk2_scale;Cooling_casing_1-1;Cooling_casing_2-1;;;;;;;;;;;;;;;;;;;;;;;;;;
outer;492;489;T_ampl_Tk2;HTC_mk2_scale;IH_plates-1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outer;492;489;T_ampl_Tk2;HTC_mk2_scale;IH_finger-1;IH_finger-1-rad-2;IH_finger-1-rad-3;IH_finger-1-rad-4;;;;;;;;;;;;;;;;;;;;;;;;
Thermal;492;489;T_ampl_Tk2;HTC_mk2_scale;strut-1;;;;;;;;;;;;;;;;;;;;;;;;;;;
SB_plenum;492;489;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HTC213;492;489;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_zone_air;492;539;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
term_demp_outer;492;539;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outer;492;539;T_ampl_Tk2;HTC_mk2_scale;dempher_big-1;dempher_big-2;demphers_small-1-1-rad-2;demphers_small-1-1-rad-16;demphers_small-1-1-rad-17;demphers_small-1-1-rad-18;demphers_small-1-1-rad-32;demphers_small-1-1;demphers_small-1-2;demphers_small-1-3;demphers_small-1-4;demphers_small-1-5;demphers_small-1-6;demphers_small-1-7;demphers_small-1-8;demphers_small-1-9;demphers_small-1-10;demphers_small-1-11;demphers_small-1-12;demphers_small-1-13;demphers_small-1-14;demphers_small-1-15;demphers_small-1-16;demphers_small-1-17;demphers_small-1-18;demphers_small-1-19;demphers_small-1-20;demphers_small-1-21
Thermal;492;539;T_ampl_Tk2;HTC_mk2_scale;Hula_seals_SB-1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zone07;492;2663;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inner;528;947;T_ampl_Tk2;HTC_mk2_scale;IH_air_plenum-1;IH_air_plenum-1-rad-2;IH_air_plenum-1-rad-3;IH_air_plenum-1-rad-4;;;;;;;;;;;;;;;;;;;;;;;;
Gas;528;1727;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
outer;528;1727;T_ampl_Tk2;HTC_mk2_scale;IH_gas_plenum-1;IH_gas_plenum-1-rad-2;IH_gas_plenum-1-rad-3;IH_gas_plenum-1-rad-4;;;;;;;;;;;;;;;;;;;;;;;;
Outer;528;1994;T_ampl_Tk2;HTC_mk2_scale;IH_air_plenum-1;IH_air_plenum-1-rad-2;IH_air_plenum-1-rad-3;IH_air_plenum-1-rad-4;;;;;;;;;;;;;;;;;;;;;;;;
Air;528;1994;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HTC2660;528;2665;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zone13;572;2278;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_gas_side1b;729;247;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zone3;820;3493;T_ampl_Mixer;HTC_mk2_scale;IH_finger-1;IH_finger-1-rad-2;IH_finger-1-rad-3;IH_finger-1-rad-4;;;;;;;;;;;;;;;;;;;;;;;;
zone1;850;3459;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_tip_row2;912;3038;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_tip_row1;930;2731;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_zoneF_gas;932;2814;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
